Term IRI	Term label	Parent term IRI	Parent term label	Alternative term	Definition
http://purl.obolibrary.org/obo/ENVO_01001442	agriculture	http://purl.obolibrary.org/obo/ENVO_01001431	land use process		A land use process during which terrestrial environments are modified such that they can grow crop plants or allow the rearing of animals to provide food, fiber, medicines, or other products used by humans.
http://purl.obolibrary.org/obo/ENVO_01001493	satellite imaging of a planet	http://purl.obolibrary.org/obo/ENVO_01001492	satellite imaging		A remote sensing process during which image data about a planet is generated by sensors mounted on a satellite.
http://purl.obolibrary.org/obo/ENVO_06105112	synthetic plastic	http://purl.obolibrary.org/obo/ENVO_06105101	plastic		A plastic which is composed primarily of polymers produced by a manufacturing process.
http://purl.obolibrary.org/obo/ENVO_06105110	manufactured plastisphere	http://purl.obolibrary.org/obo/ENVO_06105106	plastisphere		A plastisphere which is composed primarily of manufactured plastic.
http://purl.obolibrary.org/obo/ENVO_06105004	thermosetting disposition	http://purl.obolibrary.org/obo/BFO_0000016	disposition		A disposition which inheres in materials capable of becoming rigid when cured by heating.
http://purl.obolibrary.org/obo/ENVO_03000137	freezing fog	http://purl.obolibrary.org/obo/ENVO_01000844	fog		A fog the droplets of which freeze upon contact with exposed objects, forming a coating of rime or glaze.
http://purl.obolibrary.org/obo/ENVO_03600065	spring water	http://purl.obolibrary.org/obo/ENVO_00002006	liquid water		Water which comes from a spring.
http://purl.obolibrary.org/obo/ENVO_03000143	cryosphere	http://purl.obolibrary.org/obo/ENVO_01000813	astronomical body part		An astronomical body part which is composed primarily of environmental materials in their frozen form.
http://purl.obolibrary.org/obo/ENVO_01001685	bubble	http://purl.obolibrary.org/obo/ENVO_01001689	mass of gas		A mass of gas which is separated from its surroundings by either 1) a thin liquid layer or 2) a physical or compositional discontinuity.
http://purl.obolibrary.org/obo/ENVO_01001692	methane gas bubble	http://purl.obolibrary.org/obo/ENVO_01001685	bubble		A bubble which is composed primarily of methane.
http://purl.obolibrary.org/obo/ENVO_01001743	plume	http://purl.obolibrary.org/obo/ENVO_01001479	fluid astronomical body part		A fluid astronomical body part which is plume shaped.
http://purl.obolibrary.org/obo/ENVO_01001823	bubble plume	http://purl.obolibrary.org/obo/ENVO_01001743	plume		A plume which is composed primarily of bubbles.
http://purl.obolibrary.org/obo/ENVO_01001884	surface landform	http://purl.obolibrary.org/obo/ENVO_01001886	landform		A landform which occurs on the surface of an astronomical body.
http://purl.obolibrary.org/obo/ENVO_01001885	submerged landform	http://purl.obolibrary.org/obo/ENVO_01001886	landform		A landform which is submerged underneath a body of liquid.
http://purl.obolibrary.org/obo/ENVO_01001886	landform	http://purl.obolibrary.org/obo/ENVO_00000191	solid astronomical body part		A solid astronomical body part which has been formed from and is composed primarily of the matter of that astronomical body.
http://purl.obolibrary.org/obo/ENVO_01001887	letter paper	http://purl.obolibrary.org/obo/ENVO_00003895	paper product		A paper product which has been manufactured to facilitate the writing of letters.
http://purl.obolibrary.org/obo/ENVO_01001888	calcic spring	http://purl.obolibrary.org/obo/ENVO_00000125	mineral spring		A mineral spring through which water with elevated concentrations of calcium hydroxide flows.
http://purl.obolibrary.org/obo/ENVO_01001889	lithia spring	http://purl.obolibrary.org/obo/ENVO_00000125	mineral spring		A mineral spring through which water with elevated concentrations of lithium salts flows.
