Agreement biome (exact match),biome_exact_match_mean,biome_exact_match_sd,Agreement biome (lenient match),biome_lenient_match_mean,biome_lenient_match_sd,sample_size,Filename,Average Similarity,Median Similarity,Standard Deviation,subbiome_sample_size,95th Percentile,MWU Statistic,MWU P-value,Label
"81.8%
(n=500)",81.8,39.0,"81.8%
(n=500)",81.8,39.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp2.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_batchyP1BWiaONwk6peX6svVVuimq_dt202406071412.csv,0.57,0.57,0.25,491.0,[0.38 0.57 0.74],216018.5,0.0,async_temp2.0
,,,,,,,,,,,,,,,
"77.35%
(n=499)",77.35,42.0,"77.76%
(n=499)",77.76,42.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.0_freqp0.25_presp1.5_rs22_API118_normal_dt202406051422.txt,0.51,0.49,0.24,460.0,[0.3  0.49 0.68],180997.5,0.0,sync_chunkY_topp0.0
"78.36%
(n=499)",78.36,41.0,"78.56%
(n=499)",78.56,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.5_freqp0.25_presp1.5_rs22_API118_normal_dt202406051428.txt,0.5,0.47,0.24,449.0,[0.31 0.47 0.66],173622.5,0.0,sync_chunkY_topp0.5
"78.16%
(n=499)",78.16,41.0,"78.16%
(n=499)",78.16,41.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API118_normal_dt202406051326.txt,0.51,0.5,0.24,455.0,[0.31 0.5  0.69],178620.5,0.0,sync_chunkY_topp0.75
"76.35%
(n=499)",76.35,43.0,"77.35%
(n=499)",77.35,42.0,499.0,gpt_clean_output_nspb100_chunkingyes_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp1.0_freqp0.25_presp1.5_rs22_API120_normal_dt202406051435.txt,0.5,0.47,0.24,462.0,[0.29 0.47 0.67],184196.5,0.0,sync_chunkY_topp1.0
,,,,,,,,,,,,,,,
"79.76%
(n=499)",79.76,40.0,"79.76%
(n=499)",79.76,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.0_freqp0.25_presp1.5_rs22_API499_repeat_dt202406131521.txt,0.51,0.48,0.24,427.0,[0.31 0.48 0.69],157771.5,0.0,sync_chunkN_topp0.0
"79.56%
(n=499)",79.56,40.0,"79.56%
(n=499)",79.56,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.5_freqp0.25_presp1.5_rs22_API499_repeat_dt202406131529.txt,0.51,0.48,0.24,423.0,[0.31 0.48 0.68],154715.0,0.0,sync_chunkN_topp0.5
"78.76%
(n=499)",78.76,41.0,"78.76%
(n=499)",78.76,41.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.75_freqp0.25_presp1.5_rs22_API499_normal_dt202406051335.txt,0.52,0.5,0.25,434.0,[0.32 0.5  0.69],163290.5,0.0,sync_chunkN_topp0.75
"79.96%
(n=499)",79.96,40.0,"79.96%
(n=499)",79.96,40.0,499.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp1.0_freqp0.25_presp1.5_rs22_API499_repeat_dt202406131538.txt,0.5,0.47,0.24,445.0,[0.3  0.47 0.67],169753.5,0.0,sync_chunkN_topp1.0
,,,,,,,,,,,,,,,
"81.6%
(n=500)",81.6,39.0,"81.6%
(n=500)",81.6,39.0,500.0,gpt_clean_output_nspb100_chunkingno_chunksize2000_modelgpt-3.5-turbo-1106_temp1.0_maxtokens4096_topp0.0_freqp0.25_presp1.5_rs22_batchw7kCe5puq0WqYKQq7BMa5iuT_dt202406071413.csv,0.59,0.59,0.25,493.0,[0.39 0.59 0.76],217296.5,0.0,async_topp0.0
